Reference, Value, Footprint, Datasheet
U2,STM32F070CBT6,,
U3,24LC512,,
P1,DEBUG,,
X1,32kHz,,
C6,10pF,,
C7,10pF,,
SW4,318-ENC130175F-12PS,,
P2,SWD,,
SW1,MENU,,
SW2,RESET,,
SW3,MANUAL,,
U1,NHD-0420AZ-FL-YBW-33V3,,
RV1,10K,,
R1,3,,
C5,100nF,,
C3,100nF,,
C2,100nF,,
C1,100nF,,
C4,4u7,,
C8,100nF,,
U4,ADS1234,,
C11,100nF,,
C10,100nF,,
P3,LOAD CELL 1,,
P4,LOAD CELL 2,,
P5,LOAD CELL 3,,
P6,LOAD CELL 4,,
J1,GAIN JUMPER,,
J2,SPEED JUMPER,,
C9,100nF,,
K1,12V 250VAC 10A,,
K2,12V 250VAC 10A,,
K3,12V 250VAC 10A,,
K4,12V 250VAC 10A,,
K5,12V 250VAC 10A,,
P7,HEATER,,
P8,DEHUMIDIFIER,,
P9,FAN,,
P10,VACUUM,,
P11,CONDITIONER,,
D4,12V LED,,
D5,12V LED,,
D1,12V LED,,
D2,12V LED,,
D3,12V LED,,
U5,ULQ2003,,
P13,HUMID1,,
R3,1k,,
P12,BAROM,,
R2,4k7,,
R5,4k7,,
P14,HUMID2,,
R4,1k,,
J3,HUMID PWR,,
P15,VIN,,
U8,KA278R12C,TO-220-4,
SW5,PWR SWITCH,,
C13,100uF,,
C16,100uF,,
U7,L4931,,
C17,100uF,,
C12,4u7,,
D6,12V LED,,
U6,7805,,
C15,100uF,,
C14,4u7,,
